등수,게시자,내용,점수,연속,총 기도일 수
2100등,호슨배임,취업 성공하게 해주세요,5점,1일째,총20일
2099등,딧뚜행님,마음이 따뜻한 사람이 되고싶어요~,5점,9일째,총36일
2098등,침착착침침,롯 데 우 승,5점,2일째,총6일
2097등,휙휙♥,침하하,5점,27일째,총48일
2096등,서유기,나 스스로를 지킬 수 있는 삶을 살고싶어요.,5점,3일째,총42일
2095등,침요일,새해복,5점,1일째,총2일
2094등,무서운고양이,여자친구란 항상 행복하게 해주세요,5점,2일째,총21일
2093등,침착맨삼국지완전판,조회수 2천만 되게 해주세요,5점,2일째,총47일
2092등,인형머리전구,반품되라,5점,2일째,총27일
2091등,도토리수집가,건강,5점,1일째,총45일
2090등,chimsuni,논문쓰게해주세용,5점,1일째,총16일
2089등,침착한웰시코기,사랑해요,5점,2일째,총28일
2088등,행복한소시지,자격증 시험 합격하게 해주세요,5점,2일째,총3일
2087등,품바왕,여자친구 사귀게해주세요,5점,3일째,총25일
2086등,고기동휘파람,부자되기,5점,1일째,총2일
2085등,수원청개구리,시험합격,5점,11일째,총37일
2084등,이하륵,피부 좋아지게 해주세요,5점,1일째,총9일
2083등,노숙자납치범,할룽,5점,1일째,총27일
2082등,100호침투부수호자,콥링엄,5점,36일째,총44일
2081등,박살공주,행복,5점,6일째,총10일
2080등,하나두,침착맨 만나고 싶어요,5점,8일째,총18일
2079등,쨰깐둥이,테슬라 그만 떨어져,5점,26일째,총42일
2078등,이설휘,반짝반짝 빛나는 사람이 되고싶어요.,5점,34일째,총34일
2077등,가나돌,건강합시다,5점,1일째,총8일
2076등,동해 ,좋은하루되세요,5점,2일째,총37일
2075등,침펄풍기,오늘도 고생했다,5점,1일째,총32일
2074등,김탱구,ㅊㅊ,5점,26일째,총29일
2073등,봉합전문의,계속 선물로 수익만 볼수있게해주세요,5점,5일째,총41일
2072등,지옥의마라샹궈,겨울방학갓생성공,5점,1일째,총9일
2071등,패트와매트,로또 1등 당첨되게 해줘잉,5점,3일째,총45일
2070등,오호홓햄빠끄세트,짱,5점,1일째,총18일
2069등,로나로나땅땅,취뽀 아자아잣,5점,2일째,총6일
2068등,라따구리,🙏🏻,5점,3일째,총36일
2067등,오르트구름,오독완(3/2),5점,8일째,총8일
2066등,쭈꾸민,글씨 색칠한거 킹받지 않게 해주소서 에이맨,5점,3일째,총3일
2065등,자타공인빵순이,주변의 자존감 낮은 이들에게 상처 받거나 흔들리지 않길,5점,1일째,총8일
2064등,침댕이,내일은 운동 가자,5점,1일째,총41일
2063등,zangc,졸지 않고 건강하게 웃으면서,5점,2일째,총12일
2062등,말랑침덩이,7,5점,1일째,총39일
2061등,베이비,자고싶을 때 잠에 들 수 있게 해주세요,5점,1일째,총1일
2060등,병꺼니,행복하길,5점,1일째,총26일
2059등,하리마오,주변에 사랑이 가득한 나날,5점,2일째,총31일
2058등,알락꼬리여우원숭이,침하하건강,5점,5일째,총44일
2057등,영공조GTA,자동기도,5점,9일째,총35일
2056등,감염된SCV,"탈모해결, 침펄건강",5점,14일째,총42일
2055등,문도박사,yu,5점,1일째,총7일
2054등,돌숭이구름은,취업시켜주세요,5점,1일째,총31일
2053등,불암산,하하호호,5점,8일째,총8일
2052등,김간장새우,당첨 부탁드립니당,5점,1일째,총37일
2051등,알보칠소믈리에,싶습니다.,5점,1일째,총27일
2050등,싸응베,내일 아르바이트 첫날인데 완전 꿀알바였음 좋겠어요.,5점,1일째,총7일
2049등,브이넥에어로빅아조씨,건강 로또,5점,5일째,총36일
2048등,괜찮은문어빵,부지런해지기,5점,1일째,총5일
2047등,침소리이즈마이라잎,같이 놀고 술먹고 놀러갈 정도로 친해지고싶어잉,5점,1일째,총24일
2046등,침착한털보,로또 1등 젭알!!!!,5점,1일째,총23일
2045등,이왕건병건,여자친구 생기게 해줘잉 ,5점,1일째,총44일
2044등,줘육볶음,헐 어제 기도 했나?,5점,4일째,총40일
2043등,주펄아방궁창고월세세입자,공황과 번아웃에서 벗어나 어서 하루빨리 원고를..,5점,2일째,총20일
2042등,힙냥이,로또 1등 당첨되게 해주세요,5점,15일째,총23일
2041등,엑설런트,로또 1등 당첨,5점,1일째,총1일
2040등,불만맨,프랭크 오션 앨범 기원,5점,44일째,총44일
2039등,뿌리채소,대학 합격 기원,5점,2일째,총2일
2038등,호로롤로로롤,오운오ㅜㄴ,5점,2일째,총37일
2037등,침펄풍철단,^___________^,5점,47일째,총49일
2036등,허대리,세계평화,5점,2일째,총8일
2035등,칵스한사발,매니매니머니,5점,4일째,총50일
2034등,일진걸,행복한한해가되게해주새요,5점,2일째,총20일
2033등,김똥꼬,ㅐ고프다,5점,9일째,총38일
2032등,크러드구이,취미로 만드는 게임 완성할 수 있게 해주시옵소서,5점,1일째,총31일
2031등,불어먹는호호호민,제주도 여행왔는데 방장 보고싶어요,5점,1일째,총4일
2030등,우마왕,지구촌 평화...,5점,1일째,총44일
2029등,매미산뱁새,여자칭구 생기게 해주세영,5점,2일째,총5일
2028등,구의동칸쵸,돈 많이 벌고싶어요,5점,2일째,총42일
2027등,cmilw8,굳,5점,1일째,총6일
2026등,7성사이다,재수성공,5점,1일째,총34일
2025등,덴마크요거밀,건강하게해주십쇼,5점,1일째,총2일
2024등,극강매미권,성공하게 해주세요,5점,1일째,총10일
2023등,방문객,취뽀,5점,7일째,총31일
2022등,우왕박,돈빨리 다 갚게해주소서,5점,3일째,총39일
2021등,시은희안,로또1등당첨,5점,4일째,총41일
2020등,moonten,이루어져라,5점,2일째,총3일
2019등,침퉁이,기도,5점,2일째,총5일
2018등,감사관,매일 공부하기 5일차,5점,8일째,총20일
2017등,집에보내줘,로또!,5점,3일째,총30일
2016등,김민세,힘내자,5점,1일째,총22일
2015등,목동다이옥신,30대 모쏠아다 탈출기원,5점,51일째,총51일
2014등,121,시나리오 열심히 쓰게 해주세요,5점,1일째,총3일
2013등,고맙잖슴,건강건강건강,5점,2일째,총20일
2012등,이병일병건병,원하는 교환교 붙게 해주세요,5점,1일째,총10일
2011등,해조류,로또1등,5점,1일째,총31일
2010등,혹꾸아이슨배림,내일은 갓생,5점,11일째,총41일
2009등,반깁스,로도 1등 당첨되게 해주세요,5점,9일째,총42일
2008등,인지동,나도 주사위를 잘 굴리고 싶다,5점,8일째,총13일
2007등,포뇨포뇨포뇨아기말년이,취업 제발 좋은곳으로 (연봉이),5점,1일째,총25일
2006등,티즐피치우롱티,오늘은 별 일 없게 해주세요~잇,5점,43일째,총43일
2005등,침붕방,할 일 다 할 수 있게 해주세요,5점,1일째,총28일
2004등,지방자치근육,사랑,5점,1일째,총29일
2003등,우대찌,내일 임용 2차 마무리 잘하기,5점,4일째,총5일
2002등,치차매,행벅,5점,2일째,총15일
2001등,안산일짱이병건,공부집중좀잘되게해줘잉,5점,4일째,총12일
2000등,긍정욱,행복하세요 *^^*,5점,6일째,총41일
1999등,해일림,건강기원,5점,1일째,총39일
1998등,유지혀,실기 화이팅,5점,1일째,총13일
1997등,침라면순한맛,죽여줘,5점,1일째,총13일
1996등,침차군,^o^,5점,3일째,총8일
1995등,침착맨침착맨,남은 시간도 열심히,5점,51일째,총51일
1994등,쉬세요,소원의 돌 꼬박꼬박 하기,5점,4일째,총13일
1993등,케이쒸,와하하하ㅎ하하하ㅏㅎ,5점,2일째,총8일
1992등,두리산,하는 일들 잘 되게 해주세요.,5점,5일째,총25일
1991등,gdzt4r,합격하게 해주세요,5점,8일째,총8일
1990등,쿼카콜라,야스,5점,1일째,총21일
1989등,김모래,123,5점,3일째,총17일
1988등,말도안되는말정말,행복,5점,2일째,총17일
1987등,망상펭귄,침하하,5점,1일째,총32일
1986등,쿠하하,연애하게 해줘잉,5점,1일째,총6일
