등수,게시자,내용,점수,연속,총 기도일 수
7242등,다은이,반수성공하게해주새오,0점,1일째,총1일
7241등,돼지날자,에헤,0점,1일째,총1일
7240등,chocobanana,ㄴ,0점,16일째,총25일
7239등,침덩이에대머리문지르기,기말고사 잘 보게 해주세요,0점,2일째,총2일
7238등,무빙훈,부자 되게해주세요!,0점,1일째,총7일
7237등,김중용,행복하게 해주세요,0점,1일째,총33일
7236등,수소강,일탄하고 돈벌게 해쥬,0점,1일째,총29일
7235등,아임리,이얍,0점,1일째,총15일
7234등,7220,부자,0점,2일째,총2일
7233등,대장장이,잘 살게 해주세요ㅠㅠ,0점,1일째,총3일
7232등,이붱건,병건이네 민박 기원 1일차,0점,1일째,총14일
7231등,고양이우는밤,여자친구생겼으면좋겠습니다,0점,1일째,총2일
7230등,야미먐,아기 콧물 어서 나아라,0점,1일째,총3일
7229등,Wony,100억 부자 되게 해주세요,0점,1일째,총2일
7228등,yoggul,발령지 좋은곳 나오게 해주세요,0점,1일째,총1일
7227등,아리송해수수께끼,면접 결과 나오는데 합격하게 해주세요,0점,1일째,총1일
7226등,pfe,pfe,0점,27일째,총45일
7225등,대램줴,하이,0점,1일째,총1일
7224등,말년에는따숩게,,0점,1일째,총8일
7223등,주호민옆머리,돈많이벌게해주세여,0점,1일째,총4일
7222등,전찬웅,크리스마스에는 연애를..,0점,1일째,총3일
7221등,송운화,ㅇㅇ,0점,1일째,총3일
7220등,최민식,부와 건강,0점,2일째,총2일
7219등,먹방의황제는이병거니요,물리공부 잘하게 해주세요,0점,1일째,총24일
7218등,팔식이,소원을 들어주세요,0점,1일째,총1일
7217등,거지발싸개,빠져라 뱃살,0점,1일째,총2일
7216등,한멍멍,다이어트!,0점,1일째,총1일
7215등,한국인학생,시험 잘 보게 해주세요,0점,17일째,총50일
7214등,Ezekiel,행복하게 해주세요,0점,1일째,총1일
7213등,이병삼병건,삼성라이온즈 우승,0점,6일째,총49일
7212등,미래주호민,내일 별로 안춥게해주세요,0점,1일째,총11일
7211등,웃음의루브르박물관,1일차,0점,1일째,총1일
7210등,바다문어,헤헤 첫 가입,0점,2일째,총2일
7209등,밀양박,기말고사 잘보게 해주세요,0점,1일째,총2일
7208등,배도라지예비회원,연애하게 해주세야,0점,1일째,총1일
7207등,뚜루콩,로또 1등 가즈아!!,0점,1일째,총1일
7206등,하느님이보우원사,빌리브 미,0점,1일째,총2일
7205등,춤착맨,젭발,0점,10일째,총10일
7204등,GyeongsooKim,유학 잘끝나게 해주세요,0점,1일째,총1일
7203등,누룽지애호가,행복하게 해주세요,0점,1일째,총1일
7202등,침디팬,허얼,0점,1일째,총1일
7201등,허스간,제가 행동을 하면 성과가 생기게 해주세요,0점,1일째,총1일
7200등,곽춘삼,로또1등 원해요,0점,2일째,총2일
7199등,위즈원,내일 맛있는거 먹기를,0점,1일째,총4일
7198등,호들갑냥이,대학교 전학 성공. 기원,0점,1일째,총1일
7197등,신효섭,우리 강아지가 말을 잘듣게해주세요,0점,1일째,총1일
7196등,LemonDog,20221130,0점,2일째,총2일
7195등,쫄병,대학합격,0점,1일째,총8일
7194등,침착맨아냐아냐,내가 원하는대로,0점,1일째,총21일
