number,nickname,wish,point,continuity,total
2347,망상펭귄,침하하,5,1,32
2346,우물우물,우물우물,5,18,20
2345,반깁스,집 안 습도가 10퍼 증가했으면 좋겠어요,5,11,44
2344,디카페인,눈 좀만 덜오게 해주세요,5,1,7
2343,착취자이병건,눈오지말고 날씨좋아져라,5,2,24
2342,7분지각,로또 1등 당첨,5,2,11
2341,무야옹이,대학 합격 시켜주세요,5,1,3
2340,침댕이,와 오늘 못할뻔 ㅋㅋ,5,1,41
2339,KimBerry,돈 마니벌기,5,1,1
2338,인덱스,테슬라 상승 기원.......,5,2,10
2337,임꺽정은꺽꺽,약대합격,5,22,35
2336,굿데이,굿데이,5,50,51
2335,침펄풍철단,^________________^,5,49,51
2334,베르린,바른자세맑은정신,5,40,40
2333,동글한쭈그라미,크리스마스에 눈 오게 해주세요,5,1,22
2332,으따맨,슈퍼으따맨이되게해주세요,5,2,14
2331,난min이라고해,안전운전!,5,3,27
2330,거룩한침냐미,키크게해주세요,5,1,5
2329,속병전문내과마리아,오늘 본 거 다 외우게 해주세요!!!!,5,1,2
2328,BIBITFL,이직한곳 잘 적응하기!,5,1,18
2327,띠요요요용,차근차근 한단계씩 발전하게 해주십쇼,5,1,8
2326,침착나라통닭공주,건강하게 해주세요,5,2,15
2325,영쨩쨩,AD 연구 회사 취직 기원,5,1,19
2324,반가워요여러분,취업 소원이 이뤄졌습니다 감사합니다 GOD,5,1,3
2323,소소한마지막,꿀잠자게 해주세요,5,2,14
2322,샤오팅,여친 생기게 해주세요,5,5,13
2321,풍브로드,행복하게 해주세용,5,1,28
2320,또롱도리,침착맨 만나게 해주세요,5,4,41
2319,포뇨포뇨포뇨아기말년이,취업 제발 좋은곳으로 (연봉이),5,1,25
2318,우발적침청자,연봉싱승,5,12,36
2317,수수료,소원의 돌 브금 너무 좋아,5,1,13
2316,탕쿠쿠,쿠쿠데스,5,2,16
2315,송쭈쭈,ㅎ2,5,1,9
2314,알보칠소믈리에,내년에는 취직하고 싶다,5,1,27
2313,오히려못참아,오늘안했나,5,1,44
2312,다른기억,부와 건강과 명예,5,1,22
2311,주호민트초코굿,로또1등,5,1,3
2310,수박사린마,잠와,5,1,4
2309,피읖눈침저씨,소돌아 치마하!,5,2,32
2308,병거니우s,개같이 부활!,5,1,33
2307,침벙침벙,행복연말,5,1,48
2306,금재옾뫄마,취뽀,5,22,36
2305,알보침맨,건강 쵝오,5,1,8
2304,삐깨츢,위인님 사당 언제 만들어줘잉,5,1,6
2303,이병건데기,무사귀환,5,4,30
2302,태공망,퀀텀점프,5,6,20
2301,메이트리,건강,5,10,46
2300,침착맨원본박물관,이직성공,5,1,32
2299,썬더캣,연애 하고싶엉,5,4,25
2298,침하루방,2023년엔 궤도님의 9시간 특강이 듣고싶어요,5,1,5
2297,SLAM,침하하,5,1,7
2296,균하히하하,내가 행복하고 싶어요,5,3,31
2295,대장민수,켸도민수 소원 퍼가요,5,2,16
2294,켸도민수,소원의돌 알아서 출첵 하게 해주세요,5,1,14
2293,침착하게삽시다,인생 잘 날로 먹게 해주세요 그냥 그냥 그냥 네,5,1,12
2292,침클립을알고있니,내일도 절거운 하루~,5,1,17
2291,침착한돼냥이,행복을쥬세요,5,1,1
2290,임지금,오늘 잘 살았다,5,1,23
2289,ㅇㅇㄱ,합격하자,5,1,33
2288,침착한애스크,마음을 고백할 용기와 사랑이 이루어질 행운이 오길바래요,5,13,25
2287,정강환이다내가,행운 가득한 삶을 주세요,5,7,35
2286,인프피t,행복한 밤 보내세용,5,1,27
2285,영공조GTA,자동기도,5,11,37
2284,떠닝끄루거,로또 1등당첨,5,1,1
2283,대인배장관,취한다,5,1,7
2282,POLO,도로로롱~,5,3,36
2281,침착한웰시코기,즐거운 봄날이 찾아오길 바람,5,3,29
2280,삼시빌,로또 일등,5,1,6
2279,ypa,일확천금,5,2,9
2278,끼얏호잉,학점잘나오게해주세영,5,1,18
2277,김풍근,임세모 공연 보게 해주세요,5,1,32
2276,털다발,인스타 팔로워 1만 유튜브 구독자 1만,5,2,19
2275,기계조무사,주말이다!!!,5,7,24
2274,dIs,다크써클아 가라,5,1,5
2273,나라는신이존재,세계평화,5,8,37
2272,위험한자식이재희,건강하게돈많이벌게해주세요,5,4,22
2271,지포스익스피리언스,집에가게해주세ㅐ요,5,3,3
2270,염소야가라재미없다,취업하게 해주쇼,5,1,23
2269,털보네왕족발,인생 날로 먹게 해주세요 제발,5,12,27
2268,주펄놈,앞으로 비는 소원 다 이루어지게 해주세요,5,1,31
2267,꾸왁스,놀고먹고 싶어잉,5,1,5
2266,언제자지,아자좟,5,2,14
2265,아무튼승리,화이팅,5,1,1
2264,김펩시,화이팅,5,2,25
2263,놀린죄값받는이병건,하루 빼먹은거 물러주세요,5,11,42
2262,안침착걸,성공기원,5,3,44
2261,제페토,시간을 돌려줘요,5,1,4
2260,호박사,임용 기원,5,20,50
2259,침꺄오,살빼게해주세요👏,5,1,1
2258,개노그램,행복하세요,5,2,28
2257,갈매기,🤞,5,14,36
2256,킹냥이,행복을주세요,5,45,51
2255,축잘알침착맨,야 여포 간다,5,8,39
2254,자하연,졸업!,5,1,19
2253,침국지매니아,내 자신을 믿을 수 있게 해주세요,5,1,1
2252,고오앙,"하는 일, 연애, 가족 평안 모두 잘 되게 해주세요.",5,9,31
2251,덩덩침덩이,노력 안 하고 잘 되게 해주세요,5,2,28
2250,김ㄴㄴ,제발 좀 잘 살자,5,1,32
2249,시저시조시져,평안,5,1,29
2248,토끼빵댕이,시험대박,5,3,23
2247,박보침나웃겨,오늘 잘 자고 내일 무사귀가하기~,5,1,40
2246,lisshoman,$_$,5,1,14
2245,스파이더맨,확신 가지게 해주세요,5,5,35
2244,펭귄피스톨,춥다,5,1,4
2243,나도줘잉평양냉면,돈 많이 벌게 해주세요,5,1,8
2242,킹트다갓트,씩씩한 하루!,5,1,21
2241,태완씨까와이,추워요 살려줘,5,1,2
2240,봉합전문의,계속 선물로 수익만 볼수있게해주세요,5,6,42
2239,파스타에면추가,모두들행복한연말되세요,5,1,4
2238,호러쇼,행복하세요,5,1,3
2237,쁴궥츄,로또 당첨,5,1,1
2236,침궤도,힘내자,5,8,48
2235,침며듦,멜크,5,1,13
2234,너뜨거워,행운,5,3,37
2233,히누히트,주말은 시간 천천히^^,5,17,41
2232,침무원,메리 크리스마스 이브 이브,5,3,21
2231,침블리야,내일 눈 제발 안오게 해줘잉,5,1,30
2230,침착한이흥건,오늘 까먹을 뻔 어휴,5,53,53
2229,곰바라기,로또 1등 되게 해주세요,5,25,43
2228,방문객,취뽀 !,5,1,32
2227,라임향,로또당첨,5,1,20
2226,천수관음괴력몬,로또 1등 기원 18일차,5,1,39
2225,검은달하얀달,오늘도 좋은 하루 되길,5,2,36
2224,주펄의비혼주의개그,로또 되게 해주세요 제발,5,1,36
2223,로그아웃,입학,5,1,1
2222,환준이,이번시즌 챌,5,1,29
2221,11수,임용고시 합격하게 해주세요,5,13,13
2220,한글깨짐,졸업,5,1,2
2219,버섯쿵야,행복 돈 건강,5,1,13
2218,빡침펄,오늘도 무사희,5,4,24
2217,YeomsoYaGara,시험합격,5,1,10
2216,개발팀,롤 다이야 기원 with 범,5,1,1
2215,김클럭,여자친구 무사귀국,5,1,4
2214,IVE리즈,"이말년 삼국지(글:이말년, 그림:주호민) 연재 기원",5,1,6
2213,과천수호자,개근!,5,12,28
2212,단박자,힘들어,5,4,43
2211,해파리냉채,내게도 사랑이 찾아오길,5,2,21
2210,이주원친구,돈 걱정 안하고 살기,5,3,31
2209,음바아무테,슝슝,5,1,1
2208,침며든공대생,학점 4.0 넘게 해주세요,5,9,14
2207,2병건빵,대학 합격하기,5,5,40
2206,청설모곳간,오디션 기회 많이 오게 해주세요,5,38,50
2205,위험한자식채림,성적 잘 나오게 해주세요,5,5,25
