nickname,total,continuity,order,wish
그르다김가놈,31,31,53.87096774193548,나이 먹기 싫어잉
매직박재성기사이즈킹,31,31,58.64516129032258,여자친구 생성 기원 21일차
HAERIN,31,31,90.12903225806453,"2023 아버지 경기도 무형 문화재,대한민국 명장 지정"
행복하니,31,31,94.6774193548387,축당첨
편한명상,31,31,116.61290322580643,명상 
병건매벌이,31,31,127.93548387096774,합격!
몽쉘통통의고양이,31,31,147.15625,2022 마무리 잘하기
병건마미,31,31,147.51612903225808,제발 연락오게해주세요
패는남매,31,31,180.96774193548387,2022년 마지막날은 다들 행복한 하루가 되기를..
개구리,31,31,210.6129032258065,행복한 마무리
이더리움,31,31,235.5483870967742,2022년의 마지막날 사랑해~!
아데마르,31,31,237.3548387096774,사랑합시다
옹골찬만두콘,31,31,239.3548387096774,침착맨 화이팅
위험한까마구이병건,31,31,251.67741935483872,올해도 다 지났네요 새해에도 행복합시다🤞
삼각군,31,31,253.7741935483871,내코인 떡상하게 해주세요
두다리갈매기,31,31,262.8709677419355,강철멘탈 부탁합니다
오호홍햄빠끄세트,31,31,268.7096774193548,건강 안전 행복
곽철용,31,31,270.51612903225805,깨끗한 화장실 문화가 정착하길 바라
메가톤맨,31,31,277.258064516129,미국 유학 성공 기원 24일차
네글자,31,31,296.80645161290323,마지막날이에요. 모두 좋은 하루 되세요.
헬로포터,31,31,297.1290322580645,비나이다 비나이다
이병건방져,31,31,302.4193548387097,팬미팅
댕댕이,31,31,309.0967741935484,2023년도 행복하게
유구미,31,31,311.1290322580645,침착맨 포켓몬 9세대 존버합니다 -39일차-
원랜디설치기사,31,31,314.06451612903226,행복한 연말 보내게 해주세요
인간사냥개,31,31,322.5806451612903,아이폰 당첨되게 해줘잉~
김종수령동지,31,31,328.5483870967742,업
이쁜둥이미운둥이,31,31,335.875,돈 많이 벌게 해줘잉
리버냥,31,31,340.9032258064516,노력한대로 이루어지길
침착한시청자,31,31,356.61290322580646,침투부 200만
국밥부장관,31,31,357.7096774193548,내가 하는 모든 일들이 다 잘 풀려나가기를
귤겨울눈,31,31,362.5806451612903,친절하게 바라보기
위험한자식,31,31,367.0967741935484,화이팅 2023
그대인형,31,31,371.4516129032258,시간아 멈춰라
궤착맨,31,31,375.9032258064516,궤도님 건강하세요
아재맨,31,31,377.53125,1월 이직 성공하게 해주세요 (39)
병건83,31,31,380.5161290322581,합격 기원
작은쥐,31,31,381.0,원하는거 다 이루기
CRADLE,31,31,382.8064516129032,그림잘그리게해주세요
초고교급이하민,31,31,383.1935483870968,월요일 면접 합격.
침덩이덕쿵덕,31,31,385.9354838709677,합격기원☆
Patrasche,31,31,386.3225806451613,감기 회복
페코짱,31,31,389.1612903225807,2022년 마지막 날 로또 고액 당첨되게 해주세요.
주호민방위훈련,31,31,398.483870967742,모두모두 올겨울 감기없이~
피죤투,31,31,401.03225806451616,지우야...
코숏🐈,31,31,402.5161290322581,로또 1등 되게 해주세요.
맵당당,31,31,404.4193548387097,한해마무리화이팅
바다민수,31,31,409.9354838709677,울 빠니보틀 건강하고 행복한 여행되게 해주세요
티라노사우루스,31,31,412.8709677419355,크아앙
보리차,31,31,415.35483870967744,건강과 행복
오히려,31,31,420.4193548387097,건강
침하하오히려좋아,31,31,435.1290322580645,가족들 모임 잘하게 해주세요.
남현수,31,31,439.61290322580646,모두가 항상 행복하게 해 주세요
쿠우우,31,31,443.4193548387097,일이 잘 풀리게 해주세요
중영이,31,31,474.258064516129,안전운전
이춘향,31,31,476.4516129032258,합격!
