Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type,Status,Korean
1009832,Andong,"Andong,Gyeongsangbuk-do,South Korea",21331,KR,City,Active,안동
1009833,Ansan-si,"Ansan-si,Gyeonggi-do,South Korea",21325,KR,City,Active,안산
1009834,Anyang,"Anyang,Gyeonggi-do,South Korea",21325,KR,City,Active,안양
1009836,Changwon,"Changwon,Gyeongsangnam-do,South Korea",21332,KR,City,Active,창원
1009837,Jeju-si,"Jeju-si,Jeju-do,South Korea",21333,KR,City,Active,제주
1009838,Cheonan-si,"Cheonan-si,Chungcheongnam-do,South Korea",21328,KR,City,Active,천안
1009839,Cheongju-si,"Cheongju-si,Chungcheongbuk-do,South Korea",21327,KR,City,Active,청주
1009840,Jinhae-gu,"Jinhae-gu,Gyeongsangnam-do,South Korea",21332,KR,Borough,Active,진해
1009841,Jinju-si,"Jinju-si,Gyeongsangnam-do,South Korea",21332,KR,City,Active,진주
1009842,Jeonju-si,"Jeonju-si,Jeollabuk-do,South Korea",21329,KR,City,Active,전주
1009843,Chuncheon-si,"Chuncheon-si,Gangwon-do,South Korea",21326,KR,City,Active,춘천
1009844,Chungju-si,"Chungju-si,Chungcheongbuk-do,South Korea",21327,KR,City,Active,충주
1009845,Gwacheon-si,"Gwacheon-si,Gyeonggi-do,South Korea",21325,KR,City,Active,과천
1009846,Incheon,"Incheon,Incheon,South Korea",21321,KR,City,Active,인천
1009847,Iksan,"Iksan,Jeollabuk-do,South Korea",21329,KR,City,Active,익산
1009848,Gangneung-si,"Gangneung-si,Gangwon-do,South Korea",21326,KR,City,Active,강릉
1009849,Gimhae-si,"Gimhae-si,Gyeongsangnam-do,South Korea",21332,KR,City,Active,김해
1009850,Gimpo-si,"Gimpo-si,Gyeonggi-do,South Korea",21325,KR,City,Active,김포
1009851,Geoje-si,"Geoje-si,Gyeongsangnam-do,South Korea",21332,KR,City,Active,거제
1009853,Gunpo-si,"Gunpo-si,Gyeonggi-do,South Korea",21325,KR,City,Active,군포
1009854,Gunsan-si,"Gunsan-si,Jeollabuk-do,South Korea",21329,KR,City,Active,군산
1009856,Gwangju,"Gwangju,Gwangju,South Korea",21322,KR,City,Active,광주
1009857,Gwangyang-si,"Gwangyang-si,Jeollanam-do,South Korea",21330,KR,City,Active,광양
