title,nickname,view,like,date,comment,image url,page url
"[곽민수] 우와, 반갑습니다. 여러분!",곽민수,26370,1780,12.12,471,,https://chimhaha.net/min/47193?page=1
[곽민수] 아싸뵹,드렁큰병건,91,3,1시간전,0,https://resources.chimhaha.net/thumb/1673872191196-ka60skvl29.gif,https://chimhaha.net/min/112295?page=1
[곽민수] 와 이번주 수요일 드디어 소장님 방송이네요,투탕카멘,63,0,2시간전,2,https://resources.chimhaha.net/thumb/1673869447030-utbje7bkxnn.jpg,https://chimhaha.net/min/112234?page=1
[곽민수] 10박 12일 이집트 여행 후기 ,기미준,106,11,3시간전,8,https://resources.chimhaha.net/thumb/1673866819176-66q32raobba.jpg,https://chimhaha.net/min/112187?page=1
[곽민수] 이번 수요일이 너무 기대되서 어크 오리진 다시 하고 있잖슴~!!,라그나로크,104,3,5시간전,1,https://resources.chimhaha.net/thumb/1673859294296-o3vjxaeeqek.jpg,https://chimhaha.net/min/112025?page=1
[곽민수] 쿠푸 태양선 2편,45억,63,2,10시간전,0,https://resources.chimhaha.net/thumb/1673838778871-9oblzleb19q.jpg,https://chimhaha.net/min/111609?page=1
[곽민수] 이집트문자 질문합니다,주호민트초코코볼,110,0,12시간전,0,https://resources.chimhaha.net/thumb/1673837255062-273q5030b53.jpg,https://chimhaha.net/min/111559?page=1
[곽민수] 18일이 너무 기대가 되네요,유리리,180,3,13시간전,7,,https://chimhaha.net/min/111495?page=1
[곽민수] 침일정 방금 봤는데,침아해,263,5,22시간전,8,,https://chimhaha.net/min/111177?page=1
[곽민수] EBS다큐프라임 황금비율의 비밀.. 피라미드.youtube,쓸만한구쭈,108,2,23시간전,1,https://img.youtube.com/vi/o5zYJ_cfybs/maxresdefault.jpg,https://chimhaha.net/min/111109?page=1
[곽민수] 이집트 상형문자 방석 발견,가두리양식장,202,6,1일전,4,https://resources.chimhaha.net/thumb/1673787860467-bvywhf7vduf.jpg,https://chimhaha.net/min/110983?page=1
[곽민수] 인스타에서 본 멋진 아누비스.,샹폴리옹,209,6,1일전,0,https://resources.chimhaha.net/thumb/1673769687814-or9qjg5adeo.jpg,https://chimhaha.net/min/110679?page=1
[곽민수] 이집트 룩소르에서 3500년전 고대 왕실 무덤 또 발굴,별의귀네,248,5,1일전,9,https://resources.chimhaha.net/thumb/1673766611157-rjvt5cs25nn.png,https://chimhaha.net/min/110592?page=1
[곽민수] 아이스크림 막대기로 쿠푸 태양선 만들기-1,45억,109,2,1일전,2,https://resources.chimhaha.net/thumb/1673764740522-fjtwh1ea799.jpg,https://chimhaha.net/min/110563?page=1
[곽민수] 친구들과 국제전자센터를 갔는데,지옥속비둘기,255,4,1일전,3,https://resources.chimhaha.net/thumb/1673712238649-h04valymi6n.jpg,https://chimhaha.net/min/109960?page=1
[곽민수] 튀르키예 에페소의 셀수스 도서관에 남은 이집트의 흔적,인팁INTP,182,5,1일전,3,https://resources.chimhaha.net/thumb/1673709798327-soxa54odq5.jpg,https://chimhaha.net/min/109926?page=1
[곽민수] 굽네 × 소장님 콜라보,chimman,429,3,1일전,8,https://resources.chimhaha.net/thumb/1673709458023-lx0ycvdq68.jpg,https://chimhaha.net/min/109907?page=1
[곽민수] 미라전 질문) 심장과 쇠똥구리의 상관관계?,주호민트초코코볼,158,2,2일전,3,https://resources.chimhaha.net/thumb/1673702325999-c4ip2uvqk9l.jpg,https://chimhaha.net/min/109767?page=1
[곽민수] 이집트 미라전 후기입니다,아자차카우원박,263,5,2일전,3,https://resources.chimhaha.net/thumb/1673697554960-qurplce6rbb.jpg,https://chimhaha.net/min/109726?page=1
[곽민수] 미라전 오늘(토요일 오후) 기준 웨이팅 시간,에어컨의요정,212,2,2일전,1,https://resources.chimhaha.net/thumb/1673697336261-v2jn3m2tbv.jpg,https://chimhaha.net/min/109682?page=1
[곽민수] 디플에서 볼 수 있는 이집트 다큐,내맴이잔슴,174,2,2일전,2,https://resources.chimhaha.net/thumb/1673682459807-zxp4oyj3cd.png,https://chimhaha.net/min/109288?page=1
[곽민수] 웨이팅 2시간 이상 소요 이야..,커피주세요따뜻한걸로,154,0,2일전,1,,https://chimhaha.net/min/109225?page=2
[곽민수] 박사가 이렇게 잘생겨도 되나…?,샹폴리옹,378,5,2일전,3,https://resources.chimhaha.net/thumb/1673630073883-pplhlweou6.jpg,https://chimhaha.net/min/108742?page=2
[곽민수] 파라오 절도 시도,시러피하우스,231,1,2일전,2,https://resources.chimhaha.net/thumb/1673621707793-it5mbbgfj2.png,https://chimhaha.net/min/108527?page=2
[곽민수] 고대 이집트 관련 질문,서울클라쓰,181,0,3일전,5,,https://chimhaha.net/min/108384?page=2
[곽민수] 실망스러웠던 이집트전 후기,펄밤최다시청자,592,5,3일전,6,https://resources.chimhaha.net/thumb/1673615157242-1q01iw6ndgt.jpg,https://chimhaha.net/min/108345?page=2
[곽민수] 소장님 닮은꼴 (현빈),우유두부,275,7,3일전,4,https://resources.chimhaha.net/thumb/1673605715353-ruh2gmrgl3.jpg,https://chimhaha.net/min/108126?page=2
[곽민수] 이집트 미라전 다녀왔습니다. 흐흐흐,유리리,216,4,3일전,5,https://resources.chimhaha.net/thumb/1673602794184-0e1axpxjwfp.jpg,https://chimhaha.net/min/108083?page=2
[곽민수] (스포주의) 데스스트랜딩이라는 게임을 하던 중 이집트 문장을 발견했는데요 이게 무슨 뜻일까요?,이병이왕건,235,3,3일전,5,https://resources.chimhaha.net/thumb/1673588907165-r4pub6u1e3.png,https://chimhaha.net/min/107821?page=2
[곽민수] 요즘 핫한 어린 박연진역할 하신 신예은님도 다녀간 ,아침점침저녁석,362,3,4일전,4,https://resources.chimhaha.net/thumb/1673529592787-x7wjfi3gtk.jpg,https://chimhaha.net/min/107015?page=2
