등수,게시자,내용,점수,연속,총 기도일 수
2442등,풍브로드,행복하게 해주세용,5점,1일째,총28일
2441등,딧뚜행님,춥지만 춥지않기,5점,10일째,총37일
2440등,으중한김으중,침착맨 만나게 해주세요,5점,5일째,총19일
2439등,삽밥두비,정시성공,5점,1일째,총1일
2438등,나랑뽀뽀할래,즐겁게 놀고 먹기,5점,1일째,총3일
2437등,피자스티브,아르헨이 이기게 해주세요,5점,2일째,총8일
2436등,비상깜빡이,1지망 대학 추합,5점,1일째,총35일
2435등,침착맨뽀에버,다들 행복하게 해주세요,5점,2일째,총2일
2434등,강동구침순이,돈 걱정 안하고 살게 해주세요,5점,6일째,총39일
2433등,조깐둥이,우리 강아지 안아프고 오래 살게 해주세요. ,5점,1일째,총40일
2432등,단무지무친,이기는팀우리팀,5점,1일째,총9일
2431등,노원멋쟁이동우,지구평화,5점,1일째,총20일
2430등,잘래요,아르헨티나 우승,5점,1일째,총4일
2429등,경제침착,로또 1등..!!,5점,1일째,총37일
2428등,닉넴머하지,시험 잘 치게 해주세요,5점,1일째,총21일
2427등,일신의영달,아르헨티나 화이팅,5점,1일째,총17일
2426등,최끼리,내일은 소원의 돌 안까먹게 해줘,5점,21일째,총21일
2425등,바다사자,아르헨티나 우승하게 해주세요,5점,1일째,총16일
2424등,론위즐리,로또1등,5점,3일째,총19일
2423등,롤리두띠,에휴,5점,1일째,총6일
2422등,카나다맨,돈 많은 백수,5점,4일째,총18일
2421등,수원청개구리,시험합격,5점,12일째,총38일
2420등,침둥호랑이,메시 우승 성불,5점,2일째,총5일
2419등,오호오호,시자악,5점,1일째,총3일
2418등,샤이침착쓰,행복해지기를,5점,2일째,총31일
2417등,BTS손흥민침착맨레츠고,강한 마음을 갖게해주세요~~~아자아자~~,5점,4일째,총13일
2416등,오필리아,해줘요에 올린 거 하게 해주세용,5점,1일째,총7일
2415등,손맛볶음밥,로또 당첨 기원!!,5점,6일째,총37일
2414등,북극꼼,오늘 대한민국 승 기원합니다🙏🙏🙏,5점,1일째,총2일
2413등,호꾸아이,햄보카자우리,5점,1일째,총18일
2412등,알파메일,기도하는거 계속 까먹네,5점,1일째,총14일
2411등,왕침덩이,흠 합격 회사 합겯,5점,4일째,총14일
2410등,황금미륵,침하하,5점,32일째,총51일
2409등,침허허,나처럼 살지마시오,5점,2일째,총33일
2408등,침착해침순이,23녀ㄴ핸복,5점,1일째,총20일
2407등,투기장1타강사,길가다가 우연히 침착맨 만나기,5점,1일째,총18일
2406등,저는상인입니다만,돈,5점,4일째,총18일
2405등,궤도롱이,🍀,5점,1일째,총33일
2404등,고양이손,깁미포인트,5점,1일째,총10일
2403등,프로타스파,복권 1등 당첨되게 해주세요,5점,1일째,총13일
2402등,고릴라,메시 우승하게 해주세요,5점,1일째,총16일
2401등,샹폴리옹,수의대 합격하게 해주세요!,5점,3일째,총17일
2400등,좌붕알초우붕알풀,메시 우승,5점,6일째,총34일
2399등,촉나라의유산,잠 잘자게 해주세요,5점,1일째,총47일
2398등,노예17,697일 후 수능 잘 되길 기원,5점,1일째,총12일
2397등,남병장,롯데 우승,5점,1일째,총5일
2396등,침투부홍보팀김대리,행복,5점,1일째,총25일
2395등,품바왕,여자친구 사귀게해주세요,5점,4일째,총26일
2394등,퀘하하,모두모두 행복하길!,5점,1일째,총12일
2393등,민궁둥,언제와.,5점,1일째,총2일
2392등,히누히트,이번주도 별 탈 없이 지나가기,5점,17일째,총41일
2391등,삼국지맨날해줘잉,와인킹님 초대석 해주세요,5점,1일째,총3일
2390등,침착아조씨,추가합격 제발요ㅠㅠ,5점,6일째,총8일
2389등,미미뉴뉴치치키키,다음주 내차 출고기원🙏🏻,5점,2일째,총29일
2388등,준빈쿤을응원해,내가 원하는 것 할 수 있게 해주세요,5점,2일째,총16일
2387등,피캬츄,소원,5점,22일째,총23일
2386등,와플대학5학년,잘되게 해줘잉,5점,1일째,총3일
2385등,김밥킹,내일 매출 올리게 해주세요,5점,1일째,총44일
2384등,기기기어르,1,5점,1일째,총19일
2383등,균침하하,올해 잘 결산되길,5점,1일째,총8일
2382등,과천수호자,이핸 부자,5점,12일째,총28일
2381등,키자루,가족의행복,5점,1일째,총28일
2380등,내열유리,건강하세용,5점,7일째,총27일
2379등,똥쫄래미,올해 얼마 안남았지만 올해 이루려던 일 다 이뤄지길!,5점,19일째,총28일
2378등,헤이멀룩일어나,공무원합격,5점,1일째,총17일
2377등,동그란침착맨,모든일 다 잘풀리고 행복하게 해주세요,5점,1일째,총21일
2376등,쀠겟츄,남은한해 무사고운전하게해주세요,5점,1일째,총1일
2375등,찌질이김치전,재밌는 일 많이 생기게 해주세요,5점,1일째,총8일
2374등,침착한애스크,마음을 고백할 용기와 사랑이 이루어질 행운이 오길바래요,5점,13일째,총25일
2373등,보약옥수수,우리가족건강,5점,4일째,총30일
2372등,치미치미뱅뱅,행복,5점,1일째,총31일
2371등,주화입마,합격기원,5점,1일째,총24일
2370등,침도스,3대 500기원 7일차,5점,3일째,총17일
2369등,아무생각이없어,합격기원,5점,2일째,총5일
2368등,잘될철학,좋은결과 plz,5점,1일째,총18일
2367등,제주집사,오늘도 소원,5점,5일째,총39일
2366등,AYOO,행복해야 할 사람이 행복하게 되는 세계가 오길,5점,2일째,총31일
2365등,병거다니맥스,좋은 곳으로 배치되게 해주세욜,5점,1일째,총16일
2364등,김애용,구내염 낫게 해주세요 ㅠㅠ,5점,48일째,총50일
2363등,무한으로즐겨요명륜진사갈비,다이어트성공하게해달랬잔슴~~~,5점,1일째,총31일
2362등,리다정,아무나 이기게 해주세요,5점,1일째,총3일
2361등,쌍절곤잘합니다,그곳에서는 행복하렴,5점,3일째,총27일
2360등,이지아,고려대🐯🥹,5점,1일째,총4일
2359등,너뜨거워,행운,5점,3일째,총37일
2358등,이이이,최고민수 합방 기원,5점,13일째,총50일
2357등,병거니우s,용기 plz,5점,1일째,총33일
2356등,침댕이,출근 안할순 없을까 ㅜㅜ,5점,1일째,총41일
2355등,컴다운만두,여보랑 행복하자,5점,1일째,총7일
2354등,비타루,오늘도 소원~,5점,1일째,총28일
2353등,김엉구,이직 기원,5점,1일째,총19일
2352등,겨울모기,연애하게해주시오,5점,22일째,총44일
2351등,감자양파이,소원의 돌 좀 안 까먹게 해주세요,5점,1일째,총27일
2350등,JNTE,무사졸업기원,5점,1일째,총4일
2349등,김민수올시다,만사형통,5점,2일째,총12일
2348등,침펄풍철단,^_______________^,5점,48일째,총50일
2347등,병건을말년하게,로또 당첨,5점,2일째,총30일
2346등,오히려죻아,오늘도 아자아자,5점,2일째,총28일
2345등,옥수수,시험합격좀 제발,5점,1일째,총2일
2344등,꼬마돌,안녕하소~,5점,3일째,총40일
2343등,가을밤,메시 월드컵 우승 기원,5점,1일째,총1일
2342등,목침착맨,내일은 진상 안 만나게 해주세요,5점,1일째,총1일
2341등,개밥먹는배찌,"로또 1등 당첨 기원 8일차, 메시 월드컵 우승 기원",5점,1일째,총23일
2340등,임다섯모,솔크 탈출하게 해주세요,5점,23일째,총35일
2339등,이주현주이,하늘에서 남자친구 하나 뚝하고 떨어뜨려주시기를!,5점,2일째,총13일
2338등,중앙석전관리위원회,건강,5점,1일째,총36일
2337등,잘하자,퇴사!,5점,1일째,총2일
2336등,버들잠,석사 졸업하자!,5점,1일째,총6일
2335등,030,스캇 당첨되고 합격도하고 유니랑 놀러가게 해주세요,5점,1일째,총3일
2334등,또요요용,행복해져라~ 행복해져라~,5점,1일째,총28일
2333등,피깨피갯삑궷츢,여친 만들어줘잉~,5점,1일째,총6일
2332등,박마루노예,4.0 맞게 해주세오..,5점,1일째,총10일
2331등,닉네임변경디디5420,세계평화,5점,9일째,총47일
2330등,견적봐서미쳐라,덱스터 취업시켜조잉,5점,1일째,총42일
2329등,한국인이라면침투부봅시다,행복 건강 침착맨 실물 영접,5점,1일째,총15일
2328등,밷착맨,다이어트 성공,5점,1일째,총29일
2327등,zangc,다음 한주도 일과 삶의 바란스가 있기를...,5점,2일째,총12일
2326등,양꼬치,월요일 출근길 안막혔음 좋겠다!!,5점,2일째,총12일
2325등,최승철이,인턴 합격,5점,5일째,총14일
2324등,왕오징어,원펀데이,5점,3일째,총27일
2323등,대왕오징오징,4짜 물고기 잡게 해줘잉(9트),5점,2일째,총42일
2322등,아빠가힘쎄면부가세,이번 주 로또 1등 당첨,5점,1일째,총13일
2321등,침착맨숭맨숭,침하하 1000포인트,5점,1일째,총16일
2320등,야옹맨,연락아 와라~ 재미없다,5점,1일째,총1일
2319등,만하하하,다음주도 무사히..,5점,1일째,총15일
2318등,원피스개혁안,내년엔 꼭 원하는 곳 원하는 직무로 취직하게 해주세요,5점,2일째,총34일
2317등,버섯쿵야,통장에 1억 생겼으면,5점,1일째,총13일
2316등,대영불패,건강 하자!!,5점,1일째,총3일
2315등,잭간둥이,시험합격하게해줘잉,5점,2일째,총15일
2314등,탑건캡틴매버릭,여자친구 생기게 해주세요,5점,24일째,총42일
2313등,뻐키반즈,지수 합격~,5점,1일째,총19일
2312등,냥냥쨉쨉,재취업기원,5점,1일째,총14일
